#depth	Te	Htot	hden	eden	2H_2/H	HI	HII	HeI	HeII	HeIII	CO/C	C1	C2	C3	C4	O1	O2	O3	O4	O5	O6	H2O/O	AV(point)	AV(extend)	Tau912
5.63139e+14	5.2682e+03	3.424e-22	1.0000e+01	1.0886e+01	2.1399e-18	6.5547e-05	9.9993e-01	5.6000e-04	9.8249e-01	1.6955e-02	2.4941e-26	1.6122e-07	1.0333e-02	9.7934e-01	1.0328e-02	1.3415e-06	4.5553e-02	9.4406e-01	1.0388e-02	1.1755e-36	1.1755e-36	6.5974e-35	0.00e+00	0.00e+00	4.6602e-06
3.37883e+15	5.2660e+03	3.424e-22	1.0000e+01	1.0885e+01	2.1433e-18	6.5557e-05	9.9993e-01	5.6010e-04	9.8250e-01	1.6936e-02	2.4940e-26	1.6120e-07	1.0334e-02	9.7931e-01	1.0351e-02	1.3413e-06	4.5544e-02	9.4411e-01	1.0349e-02	1.1755e-36	1.1755e-36	6.5954e-35	0.00e+00	0.00e+00	2.3304e-05
1.46416e+16	5.2653e+03	3.424e-22	1.0000e+01	1.0885e+01	2.1432e-18	6.5546e-05	9.9993e-01	5.6009e-04	9.8262e-01	1.6824e-02	2.4919e-26	1.6113e-07	1.0332e-02	9.7932e-01	1.0347e-02	1.3407e-06	4.5536e-02	9.4427e-01	1.0195e-02	1.1755e-36	1.1755e-36	6.5889e-35	0.00e+00	0.00e+00	9.7866e-05
5.96927e+16	5.2659e+03	3.423e-22	1.0000e+01	1.0885e+01	2.1402e-18	6.5518e-05	9.9993e-01	5.6023e-04	9.8319e-01	1.6249e-02	2.4883e-26	1.6097e-07	1.0329e-02	9.7936e-01	1.0309e-02	1.3401e-06	4.5531e-02	9.4486e-01	9.6059e-03	1.1755e-36	1.1755e-36	6.5781e-35	0.00e+00	0.00e+00	3.9599e-04
1.42587e+17	5.2634e+03	3.420e-22	1.0000e+01	1.0885e+01	2.1387e-18	6.5461e-05	9.9993e-01	5.6014e-04	9.8355e-01	1.5888e-02	2.4804e-26	1.6057e-07	1.0323e-02	9.7940e-01	1.0280e-02	1.3387e-06	4.5511e-02	9.4570e-01	8.7869e-03	1.1755e-36	1.1755e-36	6.5510e-35	0.00e+00	0.00e+00	7.8321e-04
2.50349e+17	5.2654e+03	3.414e-22	1.0000e+01	1.0884e+01	2.1293e-18	6.5375e-05	9.9993e-01	5.6013e-04	9.8447e-01	1.4968e-02	2.4692e-26	1.6017e-07	1.0315e-02	9.7948e-01	1.0208e-02	1.3362e-06	4.5461e-02	9.4673e-01	7.8097e-03	1.1755e-36	1.1755e-36	6.5166e-35	0.00e+00	0.00e+00	1.2859e-03
3.90440e+17	5.2628e+03	3.410e-22	1.0000e+01	1.0883e+01	2.1280e-18	6.5325e-05	9.9993e-01	5.6075e-04	9.8594e-01	1.3499e-02	2.4652e-26	1.5992e-07	1.0313e-02	9.7960e-01	1.0086e-02	1.3365e-06	4.5476e-02	9.4784e-01	6.6817e-03	1.1755e-36	1.1755e-36	6.4958e-35	0.00e+00	0.00e+00	1.9390e-03
5.72558e+17	5.2646e+03	3.403e-22	1.0000e+01	1.0881e+01	2.1164e-18	6.5226e-05	9.9993e-01	5.6124e-04	9.8791e-01	1.1524e-02	2.4536e-26	1.5952e-07	1.0304e-02	9.7976e-01	9.9307e-03	1.3352e-06	4.5463e-02	9.4910e-01	5.4400e-03	1.1755e-36	1.1755e-36	6.4512e-35	0.00e+00	0.00e+00	2.7866e-03
8.09312e+17	5.2602e+03	3.397e-22	1.0000e+01	1.0879e+01	2.1150e-18	6.5170e-05	9.9993e-01	5.6242e-04	9.9030e-01	9.1401e-03	2.4510e-26	1.5931e-07	1.0304e-02	9.7996e-01	9.7341e-03	1.3372e-06	4.5528e-02	9.5032e-01	4.1489e-03	1.1755e-36	1.1755e-36	6.4230e-35	0.00e+00	0.00e+00	3.8877e-03
1.11709e+18	5.2585e+03	3.390e-22	1.0000e+01	1.0877e+01	2.1069e-18	6.5075e-05	9.9993e-01	5.6342e-04	9.9284e-01	6.6005e-03	2.4445e-26	1.5899e-07	1.0300e-02	9.8017e-01	9.5248e-03	1.3389e-06	4.5595e-02	9.5150e-01	2.9083e-03	1.1755e-36	1.1755e-36	6.3821e-35	0.00e+00	0.00e+00	5.3169e-03
1.51721e+18	5.2550e+03	3.381e-22	1.0000e+01	1.0875e+01	2.1001e-18	6.4977e-05	9.9994e-01	5.6441e-04	9.9521e-01	4.2274e-03	2.4397e-26	1.5869e-07	1.0297e-02	9.8038e-01	9.3176e-03	1.3420e-06	4.5698e-02	9.5247e-01	1.8293e-03	1.1755e-36	1.1755e-36	6.3393e-35	0.00e+00	0.00e+00	7.1721e-03
2.03735e+18	5.2442e+03	3.376e-22	1.0000e+01	1.0873e+01	2.1040e-18	6.4923e-05	9.9994e-01	5.6559e-04	9.9711e-01	2.3293e-03	2.4417e-26	1.5856e-07	1.0303e-02	9.8057e-01	9.1242e-03	1.3478e-06	4.5856e-02	9.5314e-01	1.0032e-03	1.1755e-36	1.1755e-36	6.3033e-35	0.00e+00	0.00e+00	9.5819e-03
2.71355e+18	5.2372e+03	3.366e-22	1.0000e+01	1.0872e+01	2.0983e-18	6.4817e-05	9.9994e-01	5.6617e-04	9.9836e-01	1.0691e-03	2.4394e-26	1.5833e-07	1.0305e-02	9.8073e-01	8.9659e-03	1.3535e-06	4.6018e-02	9.5352e-01	4.6392e-04	1.1755e-36	1.1755e-36	6.2508e-35	0.00e+00	0.00e+00	1.2709e-02
3.59260e+18	5.2236e+03	3.359e-22	1.0000e+01	1.0871e+01	2.1005e-18	6.4741e-05	9.9994e-01	5.6685e-04	9.9904e-01	3.9293e-04	2.4404e-26	1.5824e-07	1.0315e-02	9.8086e-01	8.8223e-03	1.3611e-06	4.6210e-02	9.5361e-01	1.7424e-04	1.1755e-36	1.1755e-36	6.1920e-35	0.00e+00	0.00e+00	1.6771e-02
4.73536e+18	5.2058e+03	3.351e-22	1.0000e+01	1.0871e+01	2.1058e-18	6.4675e-05	9.9994e-01	5.6766e-04	9.9932e-01	1.1105e-04	2.4447e-26	1.5827e-07	1.0332e-02	9.8099e-01	8.6777e-03	1.3711e-06	4.6450e-02	9.5350e-01	5.1141e-05	1.1755e-36	1.1755e-36	6.1253e-35	0.00e+00	0.00e+00	2.2045e-02
6.22096e+18	5.1844e+03	3.342e-22	1.0000e+01	1.0871e+01	2.1120e-18	6.4611e-05	9.9994e-01	5.6868e-04	9.9941e-01	2.3279e-05	2.4509e-26	1.5839e-07	1.0356e-02	9.8113e-01	8.5129e-03	1.3838e-06	4.6743e-02	9.5324e-01	1.1363e-05	1.1755e-36	1.1755e-36	6.0435e-35	0.00e+00	0.00e+00	2.8894e-02
